industry_1	食品饮料
industry_2	IT及互联网
industry_3	证券期货
industry_4	广告传媒
industry_5	生物医药
industry_6	文体娱乐/新闻出版
industry_7	批发零售
industry_8	建筑房地产
industry_9	教育培训
industry_10	法律
industry_11	运输仓储邮递
industry_12	采矿
industry_13	农/林/牧/副/渔
industry_14	纺织/服装/鞋/帽
industry_15	家具家装
industry_16	投融资
industry_17	纸品印刷
industry_18	石油化工
industry_19	金属冶炼加工
industry_20	设备制造
industry_21	车船制造及配件
industry_22	电子电器
industry_23	电力热力水生产供应
industry_24	银行
industry_25	保险
industry_26	企业管理咨询
industry_27	会计审计税务
industry_28	人力资源
industry_29	医疗健康
industry_30	其他商务服务
industry_31	其他制造
industry_32	公共组织及其他
industry_33	住宿餐饮
industry_34	其他金融
